agent_id,area,missione,stato,priorita
vision_agent,core,orchestrazione strategica,attivo,critico
interaction_agent,core,routing comandi,attivo,alto
refactor_agent,core,produce 10 avanzamenti,attivo,critico
dataset_curator_agent,data,normalizza dataset,attivo,alto
system_profiler_agent,analysis,profila sistema,attivo,alto
matrix_builder_agent,analysis,genera matrici,attivo,alto
learning_ingestion_agent,learning,salva eventi,attivo,critico
retrieval_agent,learning,query interna,attivo,critico
memory_agent,learning,memoria globale e per ruolo,attivo,critico
knowledge_gap_agent,analysis,rileva gap,attivo,alto
capability_mapper_agent,analysis,mappa capacità,attivo,alto
release_intelligence_agent,release,readiness release,attivo,alto
beta_tester_agent,beta,test scenari,attivo,medio
innovation_agent,innovation,innovazioni incrementali,attivo,alto
chief_ai_visionary,ai,pattern AI futuri,attivo,alto
ai_research_strategist,ai,apprendimento AI frequente,attivo,alto
senior_system_architect,architecture,stabilità struttura,attivo,critico
senior_ai_architect,architecture,architettura agenti AI,attivo,critico
senior_backend_developer,development,motore locale,attivo,alto
senior_devops_engineer,operations,validazione e automazione,attivo,alto
senior_security_architect,security,rischi e permessi,attivo,alto
chief_product_strategist,product,valore release,attivo,alto
production_realist,delivery,esecuzione concreta,attivo,alto
senior_technical_writer,docs,documentazione italiana,attivo,medio
algorithm_designer_agent,innovation,algoritmi e scoring,attivo,alto
service_integrator_agent,integration,servizi gratuiti,attivo,medio
