id,pattern,descrizione,impatto
PAT-001,dataset come cervello,fonte primaria,critico
PAT-002,struttura congelata,evoluzione nei dati,critico
PAT-003,agenti emergenti,da incroci dataset,alto
PAT-004,refactor misurabile,10 avanzamenti,alto
PAT-005,learning append-only,storia preservata,alto
PAT-006,query locale,prima interno poi esterno,alto
PAT-007,beta come verità,failure guida fix,alto
PAT-008,release da dati,readiness e blocker,critico
PAT-009,AI velocity,aggiornamento frequente,alto
PAT-010,plugin oltre refactor,estensione senza caos,critico
